"","x"
"300","Oracle 8.1.6"
"301","Oracle 8.1.7"
"302","Oracle 8i"
"303","Oracle 9.2"
"304","Oracle 9i"
"305","OS/2"
"306","OS/400"
"307","OS/VS2"
"308","OS9000"
"309","OSF1"
"310","P6Spy"
"311","PABX Alcatel 4400"
"312","Insure++"
"313","Patch Management Solution 6"
"314","Patch Manager 8.5"
"315","Pervasive.SQL"
"316","PHP4"
"317","PHP5"
"318","PKCS#7"
"319","11"
"320","12"
"321","15"
"322","PL/1"
"323","PL16"
"324","PL7 PRO"
"325","PL7pro"
"326","Powerplay 6.6"
"327","ProdStar 2"
"328","Conso +"
"329","E2"
"330","PSN8"
"331","Quanta+"
"332","Basic 45"
"333","R"
"334","R/2"
"335","R/3 4.7"
"336","RC4"
"337","RC5"
"338","26D"
"339","DO178B"
"340","EN9100"
"341","Routeurs 3COM"
"342","RPG400"
"343","RS/6000"
"344","RS232/RS422"
"345","X3"
"346",".com"
"347","6.0"
"348","R/3"
"349","V6"
"350","ISO-7816"
"351","ISO- 7416-3"
"352","SHA-1"
"353","SHA-256"
"354","SHA-1"
"355","SHA-256"
"356","MOTO 6809"
"357",".eView"
"358","Solaris 10"
"359","Solaris 8"
"360","Solaris 9"
"361","Solaris10 - ZFS"
"362","SolidEdge"
"363","SolidWorks"
"364","Solvabilité"
"365","Solvabilité II"
"366","Spip 1.8b2"
"367","S-Plus"
"368","Spring .NET"
"369","Spring 2"
"370","SQL 92"
"371","SQL*NET"
"372","SQL*plus"
"373","SS7"
"374","SSOX (Avencis)"
"375","StAX"
"376","STEP 5"
"377","STEP 7"
"378","Struts 2"
"379","Suite CQTM/RMT/RFT"
"380","Sun xVM server"
"381","Support Niveau 1"
"382","Support Niveau 2"
"383","Support Niveau 3"
"384","Sybase_PowerDesigner"
"385","TARGET2"
"386","TASE.2"
"387","TAU G2"
"388","TB/TS/TD"
"389","Tcl/Tk"
"390","TCP/IP"
"391","TeamCenter 2007 unified (Siemens PLM)"
"392","TNC IF-MAP"
"393","TP8"
"394","TPM - vTPM"
"395","Trace32"
"396","Transformer 6.61"
"397","Transport CTS+"
"398","TR-CB"
"399","TR-CM"
"400","TR-LO"
"401","T-SQL"
"402","TTI Netrac"
"403","Turbo C"
"404","Typo3"
"405","TZAR II"
"406","UART rs232"
"407","Unity3D"
"408","UNIX TRU64"
"409","USB 2.0"
"410","V2PVCS"
"411","V9 Assurances IARD (ITN)"
"412","VB 4"
"413","VB 5"
"414","VB 6"
"415","VB.NET"
"416","K2"
"417","ESXi 4.1"
"418","VT100"
"419","W4"
"420","Web 2.0"
"421","7.1"
"422","8.2"
"423","6.1"
"424","Win@proach"
"425","Win’Design"
"426","WinCE .NET"
"427","Windows 2000"
"428","Windows 2003"
"429","Windows 2012"
"430","Windows 3.1"
"431","Windows 7"
"432","Windows 95"
"433","Windows 9x"
"434","Windows NT 3.5.1"
"435","Windows NT 4"
"436","Windows Phone 7"
"437","Windows Server 2003"
"438","Windows Server 2008"
"439","Windows Server 2008 R2"
"440","WordPress 2"
"441","WS-CDL"
"442","X 400"
"443","X 500"
"444","X.25"
"445","X++"
"446","X11"
"447","X32"
